latitude,logitude
-11.9291869,-61.9942423
-9.903959,-63.0346209
-13.494663,-60.54252929999999
-11.4319111,-61.45485389999999
-13.1890003,-60.8208062
-13.1209832,-60.54500760000001
-12.9985505,-60.9460336
-12.4357197,-64.2294518
-11.5257245,-61.0116257
-10.7870836,-65.34086909999999
-10.4283569,-62.47366220000001
-10.8724473,-61.95928869999999
-9.4251854,-62.00246749999999
-11.7259364,-62.31165759999999
-10.7209164,-62.2559803
-11.6774569,-61.17875890000001
-8.7635576,-63.89717040000001
-11.1691469,-61.901666
-9.7055092,-62.8997735
-11.7256983,-61.77814089999999
-11.9064444,-61.77972860000001
-12.7384594,-60.1221512
-11.6939081,-62.714513
-10.4106678,-65.3305618
-11.3480881,-62.2877701
-12.1326079,-61.8566786
-9.7205949,-63.3188322
-10.1947026,-63.83303009999999
-11.70721,-61.99830300000001
-10.3419313,-62.9000387
-10.5701976,-63.6189426
-8.7958117,-63.70041519999999
-11.4267577,-61.9489617
-12.5551511,-60.9022959
-9.3689197,-62.5830424
-10.6121928,-62.73313
-9.1886098,-63.1856654
-11.197746,-61.5171228
-11.0305399,-62.6729871
-10.26045,-63.2979357
-10.91475,-62.55760679999999
-12.1817522,-61.6042664
-13.4813844,-61.0468851
-11.8302007,-61.3192601
-11.9063586,-61.51365779999999
-12.0600752,-63.56918580000001
-11.7655652,-63.0315319
-10.9327023,-62.2546668
-10.2428057,-62.3518959
-11.1243087,-62.36357229999999
-9.8596408,-62.1748035
-10.4274006,-62.1297651
-10.0764608,-67.0586512
-10.9395409,-69.5672172
-10.9974896,-68.75320239999999
-9.827597299999999,-67.9510767
-10.5758778,-67.6776546
-7.6283588,-72.6745696
-11.0293948,-68.7408898
-8.1674305,-70.3574386
-9.1911243,-71.9503355
-7.613509899999999,-72.9059736
-8.837898299999999,-69.2619624
-8.947882,-72.7893354
-10.3308636,-67.1867923
-8.2672986,-72.7417348
-9.9740249,-67.8098191
-7.735627600000001,-72.6514181
-9.440199,-70.48886159999999
-10.1527174,-67.7385254
-9.0685107,-68.6546037
-8.160924399999999,-70.7651846
-10.6527544,-68.50375939999999
-9.5936386,-67.5411079
-3.213752,-64.80952239999999
-3.3677529,-68.1988872
-3.579048,-61.40484110000001
-3.7482008,-61.6586696
-7.199676899999999,-59.89159050000001
-4.3670135,-70.1908196
-3.5789467,-59.13448169999999
-0.9740131,-62.9256056
-2.7999106,-57.0683514
-4.375990499999999,-70.0301629
-3.8983465,-61.3741007
-2.9697392,-57.5890432
-8.7534042,-67.39734779999999
-4.393378999999999,-59.59401159999999
-3.3264459,-61.21316969999999
-6.530502599999999,-64.3866781
-4.8773198,-66.89691700000002
-3.8231563,-60.36443370000001
-3.1974418,-59.82560280000001
-4.0912575,-63.1483782
-3.8428071,-62.06406759999999
-6.6623703,-69.8674302
-7.433532800000001,-70.0251046
-2.5151683,-66.09589799999999
-7.545831799999998,-72.580714
-7.516968200000001,-63.0298464
-7.048709,-71.6935424
-3.2799526,-60.1855862
-3.1350344,-58.43857019999999
-6.4395919,-68.24367509999999
-2.746574,-58.02786569999999
-1.8799669,-66.9987762
-3.4747874,-66.06403329999999
-2.7486492,-66.77277269999999
-7.263780599999999,-64.7965384
-3.2897156,-60.6318987
-3.4298206,-60.4598985
-3.1190275,-60.0217314
-5.8131866,-61.29898999999999
-1.8592832,-65.589998
-3.3941285,-57.7204693
-2.1923571,-56.7114471
-3.890451699999999,-59.09325819999999
-2.6232344,-60.9431394
-5.1244337,-60.37592790000001
-2.6319989,-56.7331138
-7.7120419,-67.0027635
-2.9938566,-59.97130259999999
-2.6981994,-59.69936180000001
-0.4149368,-65.0154759
-3.1045366,-67.9452551
-0.1307918,-67.0877374
-3.462664,-68.95070160000002
-2.5690663,-57.87146740000001
-2.836772,-58.2130166
-4.231455599999999,-69.9369359
-5.6250293,-63.18902509999999
-3.3473698,-64.7091998
-2.8618121,-67.77562569999999
-2.9822367,-65.1592575
-2.5323087,-57.7555674
-3.1291047,-58.15371889999999
3.6542857,-61.4191455
2.9926147,-61.3115797
2.8206339,-60.6737553
3.3612953,-59.836575
2.6101056,-60.6011329
1.822514,-61.1265436
0.8807508,-59.69594
2.1690361,-61.0555655
2.4470932,-60.91878449999999
3.8797158,-59.6340059
4.478433,-61.14831139999999
0.9439379,-60.42963009999999
0.9498897000000001,-59.91172469999999
1.0124132,-60.0376061
4.5953705,-60.1619529
-1.722624,-48.88017989999999
-4.9526824,-48.39463749999999
-1.9612687,-48.1996102
-0.1572135,-50.3913125
-6.803333899999999,-50.48627339999999
-1.9472383,-54.7365082
-1.5281465,-52.5772966
-3.204353,-52.2079135
-0.9857975999999999,-49.9350209
-1.3649909,-48.3739943
-3.4706291,-51.2010586
-1.0249128,-46.6457853
-2.1331723,-47.56068339999999
-3.6055755,-55.3311919
-1.8986384,-50.2098977
-2.7907204,-49.6700627
-7.3524392,-50.40782489999999
-1.5096022,-48.616241
-1.4563432,-48.501299
-2.6373851,-54.9357986
-1.361481,-48.2437586
-5.0464034,-48.6020642
-1.362882,-47.305957
-1.0570112,-46.7662901
-3.3032362,-52.540469
-5.7018353,-48.4026426
-3.7782997,-49.56900659999999
-1.6814644,-50.4773304
-1.5152325,-48.0452731
-1.7587973,-46.5437616
-1.0109415,-48.9609534
-2.2442314,-49.4987339
-6.5300841,-49.8517283
-1.1922171,-47.1788727
-1.7443708,-47.0646394
-1.2935408,-47.9245897
-0.1647806,-49.9818521
-0.9327898999999998,-48.2838031
-8.2625656,-49.2694666
-1.9951722,-47.9454883
-7.811399400000001,-50.7676501
-6.0994913,-49.6055321
-1.8132757,-49.7981225
-1.8901001,-55.1216544
-0.7333584999999999,-47.8536893
-4.2930142,-47.5569366
-6.1044413,-49.3554312
-2.1698669,-56.7421011
-7.563079099999999,-49.70524040000001
-1.9304599,-47.0530416
-3.8400702,-49.10107259999999
-1.4066443,-51.6469994
-1.1281959,-47.6218201
-1.9767609,-48.9606224
-1.431258,-47.9091154
-2.5574468,-47.499322
-1.7699313,-47.43839269999999
-4.2647341,-55.991954
-5.1348173,-49.3320079
-6.222221999999999,-57.75631370000001
-4.446422099999999,-49.1170862
-2.1633411,-56.0952985
-1.894388,-49.3824467
-2.0463456,-47.5500881
-0.7988426,-47.6019453
-5.3671244,-49.1230973
-0.7647665,-47.4529039
-0.7111451999999999,-47.697653
-1.36205,-48.3405486
-3.4449038,-52.8901821
-1.8052966,-50.71468669999999
-2.5813143,-49.5054691
-1.8867581,-48.7657371
-2.6822018,-54.64248389999999
-2.0009352,-54.07350049999999
-1.5304724,-49.2191679
-2.2673787,-46.9673275
-4.916498199999999,-49.082349
-1.2059936,-47.3884714
-7.0412687,-55.4197038
-4.2487392,-49.9492702
-1.8963725,-55.5176169
-2.0031802,-49.8577508
-1.7607276,-55.8629258
-1.5487701,-47.1155365
-6.754407,-51.0679508
-3.8363015,-50.6372036
-5.7419408,-48.3189307
-2.9913123,-47.3538521
-6.0687275,-49.9035717
-1.2493075,-48.2766859
-1.1911376,-47.3182655
-6.449167399999999,-48.8661691
-3.868158999999999,-54.2166911
-1.3910321,-48.8706971
-1.9367048,-50.8198918
-1.7493335,-52.2344342
-1.7989093,-53.4809992
-0.9458225000000001,-47.1257265
-0.8962720999999999,-47.0047981
-8.0294092,-50.0318524
-7.3127894,-50.0462395
-4.7760985,-48.0687065
-4.0947371,-54.9105369
-0.625006,-47.3462168
-0.7561532999999999,-48.5161539
-1.2270315,-48.2959964
-0.6645966999999999,-49.1729676
-1.299225,-48.1618421
-1.523164,-46.901731
-8.870486999999999,-49.7168246
-1.3501218,-47.57546199999999
-9.339120399999999,-50.33753670000001
-2.4406918,-54.7136192
-0.9289436999999999,-47.3988205
-1.1547239,-48.1299865
-0.7463744999999999,-48.0222755
-5.540109,-48.732731
-1.6759834,-47.7727955
-6.641455,-51.9762274
-1.1694708,-47.7972803
-6.392775299999999,-48.5630085
-0.8530527,-47.9228072
-0.7726113,-47.17721909999999
-5.3575593,-48.7898058
-1.6209884,-47.4790888
-1.7164187,-49.5319643
-6.9408382,-49.6985214
-2.5902652,-51.9529957
-0.7284855000000001,-48.5176875
-2.9381477,-48.951083
-1.0389753,-47.9068274
-6.207102,-52.70279559999999
-2.4203332,-48.15121449999999
-1.0769505,-46.9026685
-4.70134,-55.9961614
-6.751953299999999,-51.1533129
-3.766817,-49.6703074
-3.7457216,-47.4985635
-3.7176565,-53.7346334
-0.8564335999999999,-48.1398999
-1.2066818,-46.1379952
-2.8855802,-52.0125317
-7.1049985,-49.9459232
0.9017109999999999,-52.0033808
2.0471148,-50.7922747
0.7770843,-51.9506987
2.4949522,-50.9482138
0.9693756,-50.79950119999999
